Date,Prev Close,Open,High,Low,Last Price,Close,Average Price,Volume,No. of Trades,% Dly Qt to Traded Qty
01-Jan-16,1014.6,1009.8,1018.9,1008.2,1013.6,1015.35,1015.52,1238135,30701,42.77
04-Jan-16,1015.35,1005,1013.8,986.7,993.2,995.3,998.91,6896571,66235,72.13
05-Jan-16,995.3,1000.3,1010,997,1005,1005.15,1003.41,3416459,59935,58.18
06-Jan-16,1005.15,1007.6,1038.4,1000.4,1029.1,1032.2,1028.15,6116855,160947,47.62
07-Jan-16,1032.2,1021.05,1028,1008.05,1018.9,1013.25,1016.73,4512219,105075,54.84
08-Jan-16,1013.25,1020,1032.9,1016.7,1027.4,1025.75,1026.11,4871839,176664,56.38
11-Jan-16,1025.75,1015.95,1060.8,1011,1054,1051.6,1047.9,6632671,135818,52.57
12-Jan-16,1051.6,1055,1065.4,1041.1,1044.4,1045.45,1053.1,5342761,143685,56.3
13-Jan-16,1045.45,1053.1,1089.75,1047.2,1073.2,1076.85,1060.93,16412811,176074,55.27
14-Jan-16,1076.85,1063.85,1081,1053.05,1060.45,1061.65,1067.41,6359913,137443,51.64
15-Jan-16,1061.65,1069.75,1089.5,1065.6,1072.6,1073.3,1080.4,6575725,136461,57.01
18-Jan-16,1073.3,1075,1083.95,1008.1,1020.4,1016.85,1049.91,6229959,196022,53.75
19-Jan-16,1016.85,1029,1049.8,1014.1,1046.95,1043.6,1036.51,4912096,136592,42.96
20-Jan-16,1043.6,1034.9,1034.9,990,1009.15,1004.55,1008.92,10312353,219237,37.67
21-Jan-16,1004.55,1017.55,1025.75,976.7,982.45,984.2,994.85,7261772,184992,32.99
22-Jan-16,984.2,994.05,1011,994.05,1004.05,1004.15,1003.25,5413455,125503,53.96
25-Jan-16,1004.15,1010,1018.75,1000,1000.2,1003.95,1010.67,2994340,88530,49.1
27-Jan-16,1003.95,1008.1,1010,996.95,997,999.35,1004.13,3943295,90937,50.88
28-Jan-16,999.35,1001,1021.8,997.1,1015.5,1016.9,1012.35,5274473,87223,56.6
29-Jan-16,1016.9,1018.95,1040,1018,1036,1035.4,1032.75,4383577,85556,53.31
01-Feb-16,1035.4,1039.95,1041.8,1025.55,1028.2,1030.3,1032.86,2267273,66817,41.62
02-Feb-16,1030.3,1030.3,1032.8,990.5,995.5,1001.15,1013.98,3376466,107860,44.93
03-Feb-16,1001.15,988,994,975,980,981.4,984.1,3586808,84824,43.5
04-Feb-16,981.4,988,1001,965.7,977.65,973.05,983.08,4161079,117696,40.43
05-Feb-16,973.05,979.1,982,961.4,974.9,970.9,970.48,4799882,166929,54.61
08-Feb-16,970.9,971.1,984.8,957.95,959.65,961.05,974.75,2760853,69133,42.27
09-Feb-16,961.05,952.9,968.8,950,956.75,957.5,961,4481029,91823,48.85
10-Feb-16,957.5,951.7,973,948.65,965.4,962.65,962.41,3859250,74240,37.9
11-Feb-16,962.65,962.85,965.95,915.5,924,924.55,940.35,3912163,115177,41.14
12-Feb-16,924.55,933.9,933.9,888.1,904.85,906.55,908.01,6701935,177405,51.1
15-Feb-16,906.55,918,951.35,918,944.4,946.75,939.84,4407889,129662,58.46
16-Feb-16,946.75,951.1,958,927,929.25,930.55,944.11,2977263,79628,36.85
17-Feb-16,930.55,935.1,957.45,916.4,956.1,952.6,938.34,3529832,104491,37.66
18-Feb-16,952.6,962.95,968.7,936,937.15,940.1,949.33,3299161,69320,43.48
19-Feb-16,940.1,940,952.75,937.35,943.5,944.35,944.49,2339664,86096,39.29
22-Feb-16,944.35,944.1,968.3,944.1,963,962.3,960.94,2919198,65484,45.95
23-Feb-16,962.3,963.1,967.2,942.75,943.9,949.65,958.52,4340746,81610,46.14
24-Feb-16,949.65,944.9,958.55,942,955,952.65,952.71,3471311,109885,58.16
25-Feb-16,952.65,954.2,956.55,940.85,942,944.1,946.5,5675025,80392,61.06
26-Feb-16,944.1,953,958.75,944.3,953,950.35,951.69,1908533,58546,45.76
29-Feb-16,950.35,951.3,994.6,935,965,966.65,960.96,7093474,134218,50.98
01-Mar-16,966.65,964.7,985.05,964.65,984.25,981.3,979.72,3760923,97955,66.18
02-Mar-16,981.3,992.9,1005.75,987.25,1000,1001.5,998.81,4595886,74124,57
03-Mar-16,1001.5,1010,1018,997.5,1010,1012.85,1009.28,3630006,78861,47.45
04-Mar-16,1012.85,1014,1015,1003.5,1007.5,1006.4,1007.65,2054428,51720,55.16
08-Mar-16,1006.4,1007.5,1030.9,1007.5,1023,1027,1021.65,3022554,86702,49.91
09-Mar-16,1027,1020,1043.9,1018.6,1041.9,1041.7,1033.7,2709831,79794,47.41
10-Mar-16,1041.7,1042.05,1045.9,1009,1009.15,1011.75,1018.42,4733124,144977,60.39
11-Mar-16,1011.75,1014.9,1029.55,1010.6,1015.4,1014.5,1019.42,3501676,88004,48.46
14-Mar-16,1014.5,1019.1,1026.4,1012.95,1019.75,1019.75,1018.41,2715590,82702,61.9
15-Mar-16,1019.75,1024,1027.85,1015.1,1019.55,1020.5,1021.64,2397332,56909,56.19
16-Mar-16,1020.5,1021,1025.8,1005.45,1024.4,1021.75,1015.77,2529074,50367,51.15
17-Mar-16,1021.75,1027,1036.9,1012,1014.5,1016,1026.51,3847740,90226,55.61
18-Mar-16,1016,1018.25,1030.15,1015.7,1028.3,1027.2,1024,3207246,69238,60.26
21-Mar-16,1027.2,1027.95,1041.5,1022.75,1040,1037.3,1030.59,2904852,79043,60.88
22-Mar-16,1037.3,1037,1052.25,1035.65,1049.35,1047.85,1044.68,3504967,93579,52.34
23-Mar-16,1047.85,1046.9,1046.9,1022.4,1027.25,1029.2,1031.48,3841654,90954,54
28-Mar-16,1029.2,1030,1031.7,1015.65,1022.5,1020.4,1022.77,4130553,84002,61.83
29-Mar-16,1020.4,1023.8,1042,1020.2,1034,1036.25,1034.32,3627901,57044,60.81
30-Mar-16,1036.25,1042.7,1051.75,1042.7,1047.4,1047.05,1047.52,3303780,94538,63.62
31-Mar-16,1047.05,1041,1056,1032.7,1045,1045.2,1045.52,7047985,128999,65.18
01-Apr-16,1045.2,1039.1,1046.3,1025,1035,1034.45,1033.05,2830115,61004,54.89
04-Apr-16,1034.45,1040,1042.2,1025.3,1035.75,1035.05,1032.19,1973260,77242,54.28
05-Apr-16,1035.05,1031.35,1042.4,1022.2,1027.3,1026.95,1031.04,2345148,61672,50.19
06-Apr-16,1026.95,1032.1,1036.7,1022.6,1034.4,1033.75,1029.94,1597975,55920,50
07-Apr-16,1033.75,1034.9,1048,1022.1,1034.8,1037.25,1037.23,2009055,61885,42.23
08-Apr-16,1037.25,1035.9,1054.45,1031.2,1035,1036.35,1041.82,3065701,64946,40.76
11-Apr-16,1036.35,1037,1045.5,1033,1039.2,1040.3,1040.4,2356318,51362,49.14
12-Apr-16,1040.3,1040.3,1057.45,1038.05,1047.6,1047.4,1048.86,2552099,51698,51.61
13-Apr-16,1047.4,1052.55,1069.9,1052.55,1064.6,1066.05,1060.03,3666141,96144,61.96
18-Apr-16,1066.05,1065.8,1066.8,1055.4,1063.05,1064.75,1061.15,4358102,72390,64.49
20-Apr-16,1064.75,1069.2,1069.2,1035.8,1037.15,1037.3,1044.82,4957497,159487,72.14
21-Apr-16,1037.3,1041.4,1052,1035,1039.5,1041.15,1042.52,2601436,65460,52.18
22-Apr-16,1041.15,1039,1047.5,1029.3,1040.5,1038.95,1039.15,2675586,83568,49.04
25-Apr-16,1038.95,1044.45,1044.45,1012.3,1014.55,1016.9,1019.84,13979586,154748,56.88
26-Apr-16,1016.9,1015.4,1023.9,1007.5,1014.3,1016.95,1013.25,6041279,91302,48.58
27-Apr-16,1016.95,1017.9,1025.95,1016,1018.45,1019.4,1021.78,3315060,134641,61.07
28-Apr-16,1019.4,1014,1019.2,990.95,993.5,996.7,1005.46,14160507,145782,76.08
29-Apr-16,996.7,993.45,998.55,978.85,980.9,982.7,987.1,5367060,146902,59.59
02-May-16,982.7,979,992.4,978,987,986.95,986.75,2427753,71546,49.85
03-May-16,986.95,988,994.95,972.75,975,975.8,982.83,4016624,128285,56.31
04-May-16,975.8,974.05,983.7,973,976,978.1,979.17,3096453,70953,46.91
05-May-16,978.1,980,983.45,970.9,974.9,975.25,976.77,4952411,107343,61.21
06-May-16,975.25,973,976.8,967,969.15,968.95,971.08,3371220,72457,48.81
09-May-16,968.95,975,986,972.8,983.3,983.1,981.2,3508088,79373,58.22
10-May-16,983.1,983.1,984.7,978,982.3,982.55,981.5,1656840,44767,47.42
11-May-16,982.55,971.8,980.75,970,974.1,975.4,976.47,2820699,50564,50.89
12-May-16,975.4,976,994.2,975.05,993,992.8,986.82,2922714,68535,44.84
13-May-16,992.8,988.95,990.55,975,975.95,978.15,981.35,3348353,82572,58.36
16-May-16,978.15,977,982.5,971.1,974.5,975.95,976.4,2132072,46086,40.8
17-May-16,975.95,980.25,983.1,966.35,967.45,969.15,973.96,2779023,85318,54.62
18-May-16,969.15,965.9,972.5,964.1,970.05,970.55,969.99,1880974,44676,43.61
19-May-16,970.55,971.7,971.9,945.6,947.35,951.2,960.71,2088058,45052,45.64
20-May-16,951.2,952,954.5,931.35,933.4,934.2,943.02,4238988,126939,57.86
23-May-16,934.2,937.35,940.7,925.65,931.1,930,932.46,4198098,119010,57.15
24-May-16,930,928.05,944,928.05,941,940.45,939.86,2807737,85430,55.94
25-May-16,940.45,949.85,952.8,941.15,949.65,951.2,948.1,2112135,52041,47.28
26-May-16,951.2,950,952.4,944.1,947.3,946.85,947.62,3243601,81624,55.41
27-May-16,946.85,949.05,976.9,948.75,973.1,974.7,966.82,3063379,67215,44.7
30-May-16,974.7,976.4,981.5,965,965.8,968.7,972.17,2202091,62587,40.8
31-May-16,968.7,969,973,956.5,959,957.85,959.97,5333469,104315,72.66
01-Jun-16,957.85,957.95,966.1,951.8,952.7,953.6,959.2,2067034,53205,55.3
02-Jun-16,953.6,954.5,957.15,945.1,955.35,956.25,950.47,2343852,84845,57.38
03-Jun-16,956.25,960,962.9,955.85,958.75,959.65,959.64,1975712,61330,64.11
06-Jun-16,959.65,961,963,952.55,954.45,954.8,956.96,1982466,64201,69.81
07-Jun-16,954.8,957.25,960.95,951.6,953.45,955.05,956.15,4332627,95245,82.17
08-Jun-16,955.05,958,958,949.15,955.95,954.1,953.25,2773975,70012,70.93
09-Jun-16,954.1,960,976.45,956.2,970,971.15,971.14,3575840,116207,62.74
10-Jun-16,971.15,974,984.4,968.3,975.7,976.7,976.64,3729737,74227,63.83
13-Jun-16,976.7,969.9,983.45,963.05,980,981.1,973.74,2334856,57776,48.82
14-Jun-16,981.1,980.95,985.4,969.3,976.3,976.25,977.5,2497008,55244,64.34
15-Jun-16,976.25,980,986.5,973.75,981.85,984.6,980.12,2543921,97049,67.22
16-Jun-16,984.6,981,983.65,967.05,975.25,976.3,975.47,2142329,71071,54.13
17-Jun-16,976.3,977,978.65,970.1,973,974.9,974.27,2408096,97303,59.04
20-Jun-16,974.9,972.15,992.6,968,987.5,990.2,983.33,2459237,108255,61.81
21-Jun-16,990.2,994.1,994.15,979.7,983.05,987.1,985.9,3184865,116389,69.16
22-Jun-16,987.1,985,985.9,977.1,978,980.5,980.71,2923284,82337,68.25
23-Jun-16,980.5,979.95,982,970,981,980.45,975.5,2248693,106606,49.83
24-Jun-16,980.45,964.9,964.9,933.4,948.55,951.45,947.15,5711173,163656,61.62
27-Jun-16,951.45,940.5,958.4,940.5,953.9,955.65,953.76,2094599,55952,58.8
28-Jun-16,955.65,956.4,961.55,955,958,957.8,958.6,1738370,54522,62.54
29-Jun-16,957.8,962,968.95,960,967,966.9,964.82,1719857,44475,68.58
30-Jun-16,966.9,972,977.5,967.05,969,969.15,971.01,2916329,111061,69.36
01-Jul-16,969.15,972.75,976.8,970,974.75,973.45,973.03,1510979,49870,59.89
04-Jul-16,973.45,975.5,993.6,975.5,986.35,986.7,987.44,1783750,46307,43.58
05-Jul-16,986.7,986.1,1002.9,980.3,991.2,993.1,994.43,2596678,52194,44.35
07-Jul-16,993.1,992.5,1000.5,986.15,988.1,987.9,992.38,2749648,101086,61.15
08-Jul-16,987.9,987,989,976.35,977.6,978.4,982.34,1632225,47260,49.75
11-Jul-16,978.4,991,994.95,985.5,991.55,992.5,991.25,1889606,44114,44.68
12-Jul-16,992.5,995.25,1005,991,1003.4,1003.4,998.38,2232685,58174,47.86
13-Jul-16,1003.4,1005.2,1016.7,1004.15,1008,1008.75,1010.89,3409386,75726,64.15
14-Jul-16,1008.75,1008.1,1014.1,998.25,1004.2,1004.9,1006.27,2459183,94968,59.07
15-Jul-16,1004.9,1009,1021,1003.5,1014.35,1012.2,1013.32,3198562,75448,54.64
18-Jul-16,1012.2,1028,1038.75,1001.75,1002.9,1006.25,1024.42,7339086,170099,43.45
19-Jul-16,1006.25,1006,1022.95,995.3,1022.5,1017.8,1010.24,3805750,108195,50.18
20-Jul-16,1017.8,1019.95,1028.3,1016.55,1022.75,1023,1022.31,2803645,86184,57.7
21-Jul-16,1023,1024,1025,1005,1006.2,1006.35,1011.19,1534044,42542,47.55
22-Jul-16,1006.35,1006,1017.8,1005.1,1015.9,1014.85,1013.37,1577114,45519,42.44
25-Jul-16,1014.85,1014,1023.75,1007.35,1020.5,1022.75,1016.5,1883884,65866,57.42
26-Jul-16,1022.75,1023,1034.8,1015.2,1022.25,1024.05,1028.33,2403872,73738,52.06
27-Jul-16,1024.05,1023.05,1026,1008.95,1011.2,1013.1,1017.1,2521448,44577,57.37
28-Jul-16,1013.1,1014.95,1030.5,1013.05,1024,1026.35,1022.77,3568375,57410,71.79
29-Jul-16,1026.35,1024,1024.9,1012,1016.05,1014.9,1016.04,2201164,59232,62.74
01-Aug-16,1014.9,1018,1020.3,1005.05,1009,1009.5,1012.34,1823694,39583,56.9
02-Aug-16,1009.5,1008,1020,1006.3,1013,1012.8,1014.69,1762408,60093,56.43
03-Aug-16,1012.8,1014.4,1014.4,991.5,992.9,993.95,998,2713804,84839,59.02
04-Aug-16,993.95,999,1000,983.4,995.2,993,990.33,2328716,70610,58.7
05-Aug-16,993,998,1019,997.05,1018,1016.25,1008.21,2767914,63040,63.5
08-Aug-16,1016.25,1019.9,1034,1018.65,1027.3,1029.25,1029.46,3098753,85046,66.91
09-Aug-16,1029.25,1027,1034.5,1021,1029.9,1030.7,1027.79,3038046,80430,66.14
10-Aug-16,1030.7,1031.25,1034.55,1002,1002.2,1003.65,1012.18,3079463,75445,64.6
11-Aug-16,1003.65,1001.95,1022.85,999.6,1014,1014.1,1013.46,3238899,92154,55.65
12-Aug-16,1014.1,1017,1042.9,1017,1032.55,1035.8,1032.8,3740861,104993,56.46
16-Aug-16,1035.8,1036.25,1044.8,1015.5,1023.65,1024.9,1028.02,3055603,87377,55.2
17-Aug-16,1024.9,1024.1,1028.8,1007.2,1014,1013.3,1015.54,3539970,88744,62.95
18-Aug-16,1013.3,1016,1023.65,1016,1018,1018.05,1019,1771449,76822,59.94
19-Aug-16,1018.05,1018,1022,1007.1,1013.3,1014.9,1015.51,1869308,59860,53.92
22-Aug-16,1014.9,1012,1019.7,1007.2,1010.05,1011.85,1012.82,1527904,72620,55.29
23-Aug-16,1011.85,1012,1015,1005,1011.2,1010.45,1010.12,1673328,53304,58.79
24-Aug-16,1010.45,1011.7,1021.95,1011,1021.25,1020.5,1017.13,1993153,67902,70.12
25-Aug-16,1020.5,1021.2,1029,1009,1013.95,1012.7,1017.92,3419775,82485,64.28
26-Aug-16,1012.7,1017.9,1030.8,1014.6,1026.6,1027.9,1024.82,2203465,79842,55.42
29-Aug-16,1027.9,1027.25,1059.75,1026.1,1059.3,1057.45,1046.1,3701495,90569,47.9
30-Aug-16,1057.45,1062,1068.5,1053,1064.75,1066.4,1062.92,4153522,118180,64.89
31-Aug-16,1066.4,1064.9,1074,1047,1047.9,1060,1063.92,5324960,210357,70.39
01-Sep-16,1060,1053,1072.75,1025.7,1028.05,1029.2,1050.52,9742454,193607,38.73
02-Sep-16,1029.2,1031.1,1032.55,1002.3,1013,1013.35,1013.84,6428814,133004,53.38
06-Sep-16,1013.35,1019.9,1025,1015,1021.7,1019.9,1019.3,2631091,73178,47.32
07-Sep-16,1019.9,1022,1027.05,1013.05,1017,1017.65,1019.15,2954995,87614,52.44
08-Sep-16,1017.65,1023.05,1035.95,1020.2,1034,1033.4,1030.87,2790196,90566,58.23
09-Sep-16,1033.4,1035,1049.9,1030,1041.5,1044.55,1042.48,3490441,69385,39.93
12-Sep-16,1044.55,1030.4,1056,1029.15,1046.95,1046.5,1046.99,7699800,101157,46.26
14-Sep-16,1046.5,1048,1059,1040.9,1043,1044.75,1049.2,4252754,95815,49.92
15-Sep-16,1044.75,1047,1070.2,1047,1064.8,1065,1055.37,7170885,64639,47.9
16-Sep-16,1065,1067,1093.85,1059.1,1072.9,1075.55,1080.3,8988926,151282,57.02
19-Sep-16,1075.55,1072.55,1088,1071,1083,1082.4,1080.96,3812324,81518,59.65
20-Sep-16,1082.4,1084,1084.75,1069.05,1073.55,1074.2,1076.13,2635854,65326,61.19
